bucket,hand_id,decision_idx,head_idx,rank,src_position,src_token,attn_weight,entropy_over_seq,seq_len
clean_check_or_call,7f799478,1,22,4,244,.,0.0461,3.1845,293
clean_check_or_call,7f799478,1,22,5,281, see,0.0415,3.1845,293
clean_check_or_call,7f799478,1,22,6,236, bet,0.0312,3.1845,293
clean_check_or_call,7f799478,1,22,7,202, your,0.0251,3.1845,293
clean_check_or_call,7f799478,1,9,0,287,JSON,0.1943,2.7889,293
clean_check_or_call,7f799478,1,9,1,0,<s>,0.1650,2.7889,293
clean_check_or_call,7f799478,1,9,2,286,".

",0.1079,2.7889,293
clean_check_or_call,7f799478,1,9,3,290,action,0.1064,2.7889,293
clean_check_or_call,7f799478,1,9,4,288,:,0.0859,2.7889,293
clean_check_or_call,7f799478,1,9,5,289," {""",0.0820,2.7889,293
clean_check_or_call,7f799478,1,9,6,292," """,0.0493,2.7889,293
clean_check_or_call,7f799478,1,9,7,291,""":",0.0262,2.7889,293
clean_check_or_call,7f799478,1,15,0,0,<s>,0.1318,4.0088,293
clean_check_or_call,7f799478,1,15,1,279, check,0.0898,4.0088,293
clean_check_or_call,7f799478,1,15,2,286,".

",0.0645,4.0088,293
clean_check_or_call,7f799478,1,15,3,280, and,0.0581,4.0088,293
clean_check_or_call,7f799478,1,15,4,7,.,0.0505,4.0088,293
clean_check_or_call,7f799478,1,15,5,292," """,0.0388,4.0088,293
clean_check_or_call,7f799478,1,15,6,290,action,0.0388,4.0088,293
clean_check_or_call,7f799478,1,15,7,244,.,0.0265,4.0088,293
clean_check_or_call,ff2290f0,2,22,0,303, check,0.2793,2.8066,318
clean_check_or_call,ff2290f0,2,22,1,310, again,0.1357,2.8066,318
clean_check_or_call,ff2290f0,2,22,2,311,".

",0.0962,2.8066,318
clean_check_or_call,ff2290f0,2,22,3,304, and,0.0825,2.8066,318
clean_check_or_call,ff2290f0,2,22,4,305, see,0.0603,2.8066,318
clean_check_or_call,ff2290f0,2,22,5,309, bets,0.0549,2.8066,318
clean_check_or_call,ff2290f0,2,22,6,286,.,0.0376,2.8066,318
clean_check_or_call,ff2290f0,2,22,7,298,",",0.0219,2.8066,318
clean_check_or_call,ff2290f0,2,9,0,312,JSON,0.1963,2.7243,318
clean_check_or_call,ff2290f0,2,9,1,0,<s>,0.1426,2.7243,318
clean_check_or_call,ff2290f0,2,9,2,313,:,0.1118,2.7243,318
clean_check_or_call,ff2290f0,2,9,3,311,".

",0.1011,2.7243,318
clean_check_or_call,ff2290f0,2,9,4,315,action,0.0991,2.7243,318
clean_check_or_call,ff2290f0,2,9,5,314," {""",0.0791,2.7243,318
clean_check_or_call,ff2290f0,2,9,6,317," """,0.0679,2.7243,318
clean_check_or_call,ff2290f0,2,9,7,316,""":",0.0444,2.7243,318
clean_check_or_call,ff2290f0,2,15,0,0,<s>,0.1445,3.9801,318
clean_check_or_call,ff2290f0,2,15,1,303, check,0.1089,3.9801,318
clean_check_or_call,ff2290f0,2,15,2,311,".

",0.0640,3.9801,318
clean_check_or_call,ff2290f0,2,15,3,304, and,0.0542,3.9801,318
clean_check_or_call,ff2290f0,2,15,4,7,.,0.0505,3.9801,318
clean_check_or_call,ff2290f0,2,15,5,310, again,0.0469,3.9801,318
clean_check_or_call,ff2290f0,2,15,6,315,action,0.0304,3.9801,318
clean_check_or_call,ff2290f0,2,15,7,309, bets,0.0278,3.9801,318
clean_check_or_call,47193a37,1,22,0,275, check,0.3066,3.1394,289
clean_check_or_call,47193a37,1,22,1,282,".

",0.0718,3.1394,289
clean_check_or_call,47193a37,1,22,2,276, and,0.0674,3.1394,289
clean_check_or_call,47193a37,1,22,3,281, does,0.0559,3.1394,289
clean_check_or_call,47193a37,1,22,4,277, see,0.0408,3.1394,289
clean_check_or_call,47193a37,1,22,5,244,.,0.0378,3.1394,289
clean_check_or_call,47193a37,1,22,6,236, bet,0.0272,3.1394,289
clean_check_or_call,47193a37,1,22,7,202, your,0.0251,3.1394,289
clean_check_or_call,47193a37,1,9,0,283,JSON,0.1914,2.7883,289
clean_check_or_call,47193a37,1,9,1,0,<s>,0.1777,2.7883,289
clean_check_or_call,47193a37,1,9,2,282,".

",0.1084,2.7883,289
clean_check_or_call,47193a37,1,9,3,286,action,0.1025,2.7883,289
clean_check_or_call,47193a37,1,9,4,284,:,0.0801,2.7883,289
clean_check_or_call,47193a37,1,9,5,285," {""",0.0801,2.7883,289
clean_check_or_call,47193a37,1,9,6,288," """,0.0491,2.7883,289
clean_check_or_call,47193a37,1,9,7,7,.,0.0247,2.7883,289
clean_check_or_call,47193a37,1,15,0,0,<s>,0.1309,4.0024,289
clean_check_or_call,47193a37,1,15,1,275, check,0.0913,4.0024,289
clean_check_or_call,47193a37,1,15,2,282,".

",0.0630,4.0024,289
clean_check_or_call,47193a37,1,15,3,276, and,0.0540,4.0024,289
clean_check_or_call,47193a37,1,15,4,7,.,0.0500,4.0024,289
clean_check_or_call,47193a37,1,15,5,286,action,0.0425,4.0024,289
clean_check_or_call,47193a37,1,15,6,288," """,0.0410,4.0024,289
clean_check_or_call,47193a37,1,15,7,244,.,0.0275,4.0024,289
clean_check_or_call,47193a37,2,22,0,309, check,0.2891,2.8237,324
clean_check_or_call,47193a37,2,22,1,316, again,0.1094,2.8237,324
clean_check_or_call,47193a37,2,22,2,317,".

",0.0908,2.8237,324
clean_check_or_call,47193a37,2,22,3,310, and,0.0801,2.8237,324
clean_check_or_call,47193a37,2,22,4,311, see,0.0645,2.8237,324
clean_check_or_call,47193a37,2,22,5,315, bets,0.0559,2.8237,324
clean_check_or_call,47193a37,2,22,6,292,.,0.0486,2.8237,324
clean_check_or_call,47193a37,2,22,7,307, best,0.0237,2.8237,324
clean_check_or_call,47193a37,2,9,0,318,JSON,0.2041,2.6639,324
clean_check_or_call,47193a37,2,9,1,0,<s>,0.1475,2.6639,324
clean_check_or_call,47193a37,2,9,2,319,:,0.1172,2.6639,324
clean_check_or_call,47193a37,2,9,3,317,".

",0.1025,2.6639,324
clean_check_or_call,47193a37,2,9,4,321,action,0.0952,2.6639,324
clean_check_or_call,47193a37,2,9,5,320," {""",0.0791,2.6639,324
clean_check_or_call,47193a37,2,9,6,323," """,0.0713,2.6639,324
clean_check_or_call,47193a37,2,9,7,322,""":",0.0361,2.6639,324
clean_check_or_call,47193a37,2,15,0,0,<s>,0.1611,3.9773,324
clean_check_or_call,47193a37,2,15,1,309, check,0.1011,3.9773,324
clean_check_or_call,47193a37,2,15,2,317,".

",0.0635,3.9773,324
clean_check_or_call,47193a37,2,15,3,7,.,0.0518,3.9773,324
clean_check_or_call,47193a37,2,15,4,310, and,0.0503,3.9773,324
clean_check_or_call,47193a37,2,15,5,316, again,0.0430,3.9773,324
clean_check_or_call,47193a37,2,15,6,321,action,0.0303,3.9773,324
clean_check_or_call,47193a37,2,15,7,315, bets,0.0261,3.9773,324
clean_check_or_call,0306ad6b,2,22,0,301, check,0.2461,2.9632,317
clean_check_or_call,0306ad6b,2,22,1,310,".

",0.1240,2.9632,317
clean_check_or_call,0306ad6b,2,22,2,306, do,0.1060,2.9632,317
clean_check_or_call,0306ad6b,2,22,3,302, and,0.0786,2.9632,317
clean_check_or_call,0306ad6b,2,22,4,303, see,0.0645,2.9632,317
clean_check_or_call,0306ad6b,2,22,5,296,",",0.0371,2.9632,317
clean_check_or_call,0306ad6b,2,22,6,260,.,0.0294,2.9632,317
clean_check_or_call,0306ad6b,2,22,7,309, turn,0.0267,2.9632,317
clean_check_or_call,0306ad6b,2,9,0,0,<s>,0.1914,2.7355,317
clean_check_or_call,0306ad6b,2,9,1,311,JSON,0.1572,2.7355,317
clean_check_or_call,0306ad6b,2,9,2,310,".

",0.1191,2.7355,317
clean_check_or_call,0306ad6b,2,9,3,312,:,0.1035,2.7355,317
clean_check_or_call,0306ad6b,2,9,4,314,action,0.0840,2.7355,317
clean_check_or_call,0306ad6b,2,9,5,313," {""",0.0737,2.7355,317
clean_check_or_call,0306ad6b,2,9,6,316," """,0.0649,2.7355,317
clean_check_or_call,0306ad6b,2,9,7,315,""":",0.0383,2.7355,317
clean_check_or_call,0306ad6b,2,15,0,0,<s>,0.1816,3.8934,317
clean_check_or_call,0306ad6b,2,15,1,301, check,0.0942,3.8934,317
clean_check_or_call,0306ad6b,2,15,2,7,.,0.0664,3.8934,317
clean_check_or_call,0306ad6b,2,15,3,310,".

",0.0579,3.8934,317
clean_check_or_call,0306ad6b,2,15,4,302, and,0.0518,3.8934,317
clean_check_or_call,0306ad6b,2,15,5,309, turn,0.0317,3.8934,317
clean_check_or_call,0306ad6b,2,15,6,306, do,0.0269,3.8934,317
clean_check_or_call,0306ad6b,2,15,7,314,action,0.0256,3.8934,317
clean_check_or_call,4ed956f9,2,22,0,298, calling,0.4062,2.8169,310
clean_check_or_call,4ed956f9,2,22,1,297, worth,0.0767,2.8169,310
clean_check_or_call,4ed956f9,2,22,2,303,".

",0.0486,2.8169,310
clean_check_or_call,4ed956f9,2,22,3,294,",",0.0403,2.8169,310
clean_check_or_call,4ed956f9,2,22,4,299, to,0.0403,2.8169,310
clean_check_or_call,4ed956f9,2,22,5,261,.,0.0325,2.8169,310
clean_check_or_call,4ed956f9,2,22,6,282,.,0.0304,2.8169,310
clean_check_or_call,4ed956f9,2,22,7,300, see,0.0269,2.8169,310
clean_check_or_call,4ed956f9,2,9,0,304,JSON,0.1846,2.7201,310
clean_check_or_call,4ed956f9,2,9,1,0,<s>,0.1699,2.7201,310
clean_check_or_call,4ed956f9,2,9,2,307,action,0.1396,2.7201,310
clean_check_or_call,4ed956f9,2,9,3,306," {""",0.0801,2.7201,310
clean_check_or_call,4ed956f9,2,9,4,305,:,0.0762,2.7201,310
clean_check_or_call,4ed956f9,2,9,5,303,".

",0.0762,2.7201,310
clean_check_or_call,4ed956f9,2,9,6,309," """,0.0684,2.7201,310
clean_check_or_call,4ed956f9,2,9,7,308,""":",0.0366,2.7201,310
clean_check_or_call,4ed956f9,2,15,0,0,<s>,0.1982,3.9217,310
clean_check_or_call,4ed956f9,2,15,1,7,.,0.0747,3.9217,310
clean_check_or_call,4ed956f9,2,15,2,298, calling,0.0625,3.9217,310
clean_check_or_call,4ed956f9,2,15,3,303,".

",0.0520,3.9217,310
clean_check_or_call,4ed956f9,2,15,4,307,action,0.0491,3.9217,310
clean_check_or_call,4ed956f9,2,15,5,309," """,0.0366,3.9217,310
clean_check_or_call,4ed956f9,2,15,6,261,.,0.0261,3.9217,310
clean_check_or_call,4ed956f9,2,15,7,302, turn,0.0259,3.9217,310
clean_check_or_call,449d749d,2,22,0,298, option,0.1562,3.0121,310
clean_check_or_call,449d749d,2,22,1,294, Checking,0.1475,3.0121,310
clean_check_or_call,449d749d,2,22,2,303,".

",0.1475,3.0121,310
clean_check_or_call,449d749d,2,22,3,293,.,0.1011,3.0121,310
