hand_id,source,prev_decision_idx,curr_decision_idx,prev_street,curr_street,update_type,llm_magnitude,oracle_magnitude,correlation,direction_agreement,magnitude_ratio
83929cac,sanity_70b_t02_s123_informative_enriched.jsonl,1,2,PREFLOP,FLOP,CARD_REVEAL,0.11789045495546342,0.017596809074795466,-0.0010778953943623992,0.7142857142857143,6.699535947362303
77013656,sanity_70b_t02_s123_informative_enriched.jsonl,1,2,PREFLOP,FLOP,CARD_REVEAL,0.2863128098442228,0.009435007375727422,-0.5788491577308899,0.7142857142857143,30.345796080752784
91a24b9d,phase2_70b_t0_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.06139957172006502,0.025366791924638626,0.5201207917283277,0.7142857142857143,2.420470507365496
91a24b9d,phase2_70b_t0_s42_informative_v2_enriched.jsonl,3,5,PREFLOP,PREFLOP,ACTION,0.03876182837332334,0.02786090905715295,-0.05594012343534408,0.7142857142857143,1.391262154935742
9eb19e02,phase2_70b_t0_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.06493606220173759,0.03105505857804287,-0.6311931010082392,0.2857142857142857,2.090997897767609
1844225f,phase2_70b_t0_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.058925565098878974,0.025220044641872157,0.7163062959056923,0.9285714285714286,2.33645760487856
6308b1c2,phase2_70b_t0_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.12184650791661278,0.024886076734411573,-0.7498339741516196,0.35714285714285715,4.896171832023961
6308b1c2,phase2_70b_t0_s42_informative_v2_enriched.jsonl,3,5,PREFLOP,PREFLOP,ACTION,0.06470545014263956,0.027264809929749476,-0.43916264126660953,0.5,2.3732221243925653
4c3ade18,phase2_70b_t0_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.04166666666666667,0.025709264647964577,0.019137021552034082,0.8571428571428571,1.6206868316618872
a6c2a91d,phase2_70b_t0_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.03537026568159473,0.0252761141137775,0.07791857219623398,0.5,1.3993553566968235
a6c2a91d,phase2_70b_t0_s42_informative_v2_enriched.jsonl,3,5,PREFLOP,PREFLOP,ACTION,0.09452787771424942,0.027727450159782594,0.8091552383293051,0.8571428571428571,3.4091803310265365
413e5f51,phase2_70b_t0_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.056804027417641755,0.025404868991172686,-0.25646612636113103,0.6428571428571429,2.235950417118041
413e5f51,phase2_70b_t0_s42_informative_v2_enriched.jsonl,3,5,PREFLOP,PREFLOP,ACTION,0.06717877991273902,0.027865291593275453,-0.08874038885648863,0.6428571428571429,2.4108407295099266
edb8849c,phase2_70b_t0_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.0510310363079829,0.025377138053280516,0.8499019236120331,1.0,2.010905887056326
edb8849c,phase2_70b_t0_s42_informative_v2_enriched.jsonl,3,5,PREFLOP,PREFLOP,ACTION,0.0,0.027757986280528574,,1.0,0.0
670159bc,phase2_70b_t0_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.07136709442821533,0.02506494934715648,0.39477616407372823,0.7142857142857143,2.847286600892798
670159bc,phase2_70b_t0_s42_informative_v2_enriched.jsonl,3,5,PREFLOP,PREFLOP,ACTION,0.09642365197998373,0.027493099292275353,-0.5136041512588934,0.7142857142857143,3.5071946947456585
f960a32e,phase2_70b_t0_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.08351664695908625,0.025060890820305017,0.8797710139436101,0.9285714285714286,3.3325490126399973
a37eead2,phase2_70b_t0_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.06139957172006502,0.025924291659667267,0.5343077760639172,0.7142857142857143,2.3684184905074885
844cec93,phase2_70b_t0_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.02044674640767615,0.02529129262747757,-0.2526107505070397,0.7857142857142857,0.8084500349128818
844cec93,phase2_70b_t0_s42_informative_v2_enriched.jsonl,3,5,PREFLOP,PREFLOP,ACTION,0.029462782549439473,0.027382400565479983,0.03226382454815714,0.9285714285714286,1.0759751497676269
dea9157d,phase2_70b_t0_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.05096143543145708,0.02544486882975256,-0.6133874610939205,0.21428571428571427,2.002817769367635
fc1f63d0,phase2_70b_t0_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.029462782549439473,0.025127716265743363,-0.03739570565061574,0.9285714285714286,1.1725213002984323
638c1488,phase2_70b_t0_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.06588078458684124,0.025060890820305017,0.006163807134925446,0.8571428571428571,2.6288285224666805
1ee135ac,phase2_70b_t0_s42_informative_v2_enriched.jsonl,1,4,PREFLOP,TURN,CARD_REVEAL,0.23478974030204183,0.08413676354954926,-0.5567074835497787,0.35714285714285715,2.7905725202250147
1e27b621,phase2_70b_t0_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.056804027417641755,0.02506494934715648,-0.254233154821992,0.6428571428571429,2.2662733776514075
1e27b621,phase2_70b_t0_s42_informative_v2_enriched.jsonl,3,5,PREFLOP,PREFLOP,ACTION,0.06717877991273902,0.027493099292275353,-0.09386219315997928,0.6428571428571429,2.4434778777965573
0bd2144e,phase2_70b_t0_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.08988075090204826,0.025719769590845622,0.8873233695277867,0.8571428571428571,3.4946172664796853
8cc9da43,phase2_70b_t0_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.06139957172006502,0.025034713992639436,0.5246455562949693,0.7142857142857143,2.4525773187629536
1b990e3a,phase2_70b_t0_s42_informative_v2_enriched.jsonl,1,2,PREFLOP,FLOP,CARD_REVEAL,0.1151257222147949,0.006946328378081671,0.32854606168118444,0.8571428571428571,16.57360780380909
efe730c1,phase2_70b_t0_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.06139957172006502,0.025124455184169652,0.5182102158579689,0.7142857142857143,2.4438170408069784
efe730c1,phase2_70b_t0_s42_informative_v2_enriched.jsonl,3,5,PREFLOP,PREFLOP,ACTION,0.03577641615555863,0.027574543376840663,0.47499133219873557,0.8571428571428571,1.297443648173212
3a3f61b3,phase2_70b_t0_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.06139957172006502,0.02544443889851791,0.5192318832654219,0.7142857142857143,2.413084130679786
a0bca9e1,phase2_70b_t0_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.0,0.025235091195092766,,1.0,0.0
acc7a849,phase2_70b_t0_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.06272299715520314,0.024796547085370487,0.15953244208950346,0.7857142857142857,2.5295052952033217
acc7a849,phase2_70b_t0_s42_informative_v2_enriched.jsonl,3,5,PREFLOP,PREFLOP,ACTION,0.053370408289205494,0.027146091638419186,-0.44099964952341625,0.6428571428571429,1.9660439152747753
7237ddb2,phase2_70b_t0_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.07015045159217337,0.024886076734411573,0.4214709920729882,0.7142857142857143,2.818863428769061
7237ddb2,phase2_70b_t0_s42_informative_v2_enriched.jsonl,3,5,PREFLOP,PREFLOP,ACTION,0.07319699600712376,0.027264809929749476,-0.6075145692589667,0.42857142857142855,2.6846692199844115
7bc5bc57,phase2_70b_t0_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.07300363612227459,0.025366791924638626,0.6678780490256603,0.7142857142857143,2.8779215101049713
e5b5e402,phase2_70b_t0_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.054433105395181744,0.025421310112354937,0.8457172044180572,1.0,2.1412391869106253
e5b5e402,phase2_70b_t0_s42_informative_v2_enriched.jsonl,3,5,PREFLOP,PREFLOP,ACTION,0.0,0.027872491952827313,,1.0,0.0
ff3f1ce2,phase2_70b_t0_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.0510310363079829,0.02418518930103926,0.853150690867885,1.0,2.110011861920388
ff3f1ce2,phase2_70b_t0_s42_informative_v2_enriched.jsonl,3,5,PREFLOP,PREFLOP,ACTION,0.07216878364870323,0.026621329769217352,-0.588751683017914,0.7142857142857143,2.7109383443404504
83a8283a,phase2_70b_t0_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.054433105395181744,0.02489338510231635,0.8431905127184903,1.0,2.1866493918545733
10c09d64,phase2_70b_t0_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.029462782549439473,0.02544486882975256,0.0571651383866019,0.9285714285714286,1.1579066391173054
